movie_id,director_id
1,1
27,1
289,1
292,1
607,1
2487,1
3576,1
2,2
14,2
15,2
182,2
206,2
1220,2
2279,2
3,3
31,3
458,3
575,3
1115,3
2145,3
2607,3
3494,3
4,4
67,4
97,4
98,4
121,4
1067,4
1234,4
3717,4
5,5
6,6
59,6
339,6
7,7
32,7
39,7
162,7
994,7
1561,7
1647,7
2510,7
3057,7
3462,7
4004,7
4779,7
4814,7
8,8
9,9
18,9
795,9
1335,9
10,10
64,10
115,10
138,10
11,11
16,11
166,11
313,11
565,11
710,11
1760,11
4402,11
12,12
48,12
50,12
66,12
211,12
371,12
527,12
3593,12
13,13
47,13
1652,13
1727,13
1899,13
2260,13
3893,13
4762,13
17,14
65,14
583,14
928,14
2002,14
19,15
418,15
498,15
946,15
1586,15
20,16
72,16
153,16
353,16
1132,16
1585,16
1597,16
21,17
24,17
26,17
100,17
271,17
338,17
340,17
341,17
2050,17
3776,17
4585,17
4695,17
22,18
40,18
3469,18
23,19
160,19
228,19
276,19
279,19
284,19
291,19
331,19
642,19
975,19
1359,19
1499,19
1641,19
1778,19
2012,19
3278,19
3892,19
25,20
927,20
1617,20
1811,20
3203,20
28,21
87,21
898,21
3001,21
29,22
117,22
416,22
571,22
1195,22
3165,22
30,23
4678,23
33,24
2722,24
34,25
119,25
135,25
288,25
442,25
489,25
603,25
1334,25
1401,25
1643,25
2178,25
2450,25
2624,25
3164,25
3909,25
4129,25
35,26
60,26
315,26
356,26
408,26
513,26
591,26
733,26
831,26
1911,26
36,27
37,28
38,28
54,28
112,28
113,28
152,28
191,28
281,28
529,28
971,28
1849,28
2053,28
2106,28
41,29
236,29
2500,29
4691,29
42,30
354,30
584,30
1096,30
1589,30
43,31
287,31
485,31
540,31
662,31
718,31
782,31
810,31
2945,31
44,32
45,33
227,33
361,33
675,33
685,33
1780,33
46,34
1197,34
2164,34
2294,34
3697,34
4414,34
4486,34
49,35
142,35
161,35
937,35
51,36
197,36
904,36
2758,36
3477,36
52,37
116,37
670,37
1133,37
1437,37
1536,37
3844,37
53,38
434,38
751,38
893,38
2552,38
55,39
179,39
190,39
195,39
285,39
374,39
524,39
537,39
546,39
590,39
605,39
649,39
654,39
698,39
912,39
1040,39
1225,39
1249,39
1557,39
1750,39
1875,39
2153,39
2155,39
2612,39
2918,39
3081,39
56,40
57,41
58,42
212,42
419,42
4751,42
4856,42
61,43
93,43
143,43
220,43
254,43
523,43
1815,43
4304,43
62,44
92,44
154,44
357,44
376,44
397,44
837,44
861,44
1189,44
1202,44
1497,44
1577,44
2364,44
63,45
125,45
127,45
233,45
655,45
3849,45
68,46
79,46
239,46
69,47
259,47
816,47
4570,47
70,48
80,48
81,48
683,48
1541,48
1806,48
3768,48
71,49
258,49
309,49
327,49
362,49
453,49
921,49
1282,49
1412,49
1514,49
1563,49
1791,49
1904,49
2426,49
2795,49
3101,49
3502,49
4536,49
4551,49
5002,49
73,50
101,50
165,50
396,50
494,50
586,50
830,50
1333,50
1462,50
2641,50
3899,50
74,51
471,51
1493,51
2226,51
2639,51
4278,51
5013,51
75,52
437,52
796,52
842,52
934,52
1071,52
2925,52
76,53
256,53
433,53
717,53
1023,53
3562,53
4897,53
77,54
930,54
1231,54
2214,54
2338,54
78,55
326,55
1128,55
3561,55
82,56
83,57
84,58
1883,58
2283,58
3394,58
86,60
88,61
449,61
1418,61
2399,61
89,62
120,62
156,62
350,62
1009,62
90,63
91,64
94,65
163,65
444,65
95,66
492,66
703,66
1384,66
96,67
2600,67
4209,67
99,68
205,68
102,69
365,69
435,69
684,69
716,69
867,69
976,69
1044,69
1198,69
1601,69
103,70
611,70
1773,70
3568,70
104,71
118,71
187,71
208,71
1346,71
105,72
301,72
668,72
874,72
1542,72
1765,72
2770,72
106,73
148,73
