movie_id,keyword_id
1,1
141,1
5021,1
2,2
793,2
3,3
152,3
348,3
366,3
647,3
863,3
1098,3
1269,3
1312,3
1590,3
2271,3
2306,3
2681,3
2736,3
3277,3
3355,3
3736,3
3961,3
4,4
674,4
1790,4
2125,4
3041,4
6,5
20,5
69,5
76,5
93,5
153,5
190,5
241,5
269,5
311,5
316,5
333,5
353,5
373,5
444,5
467,5
469,5
489,5
496,5
518,5
523,5
557,5
597,5
601,5
602,5
607,5
647,5
653,5
764,5
776,5
778,5
803,5
867,5
872,5
960,5
1003,5
1024,5
1032,5
1087,5
1102,5
1120,5
1236,5
1251,5
1255,5
1312,5
1347,5
1361,5
1368,5
1410,5
1420,5
1457,5
1529,5
1602,5
1694,5
1882,5
1960,5
1972,5
2037,5
2155,5
2487,5
2572,5
2600,5
2635,5
2832,5
2862,5
2890,5
3013,5
3047,5
3135,5
3278,5
3564,5
3677,5
3699,5
3802,5
3903,5
4010,5
4068,5
4468,5
4490,5
4674,5
4756,5
4963,5
7,6
3462,6
8,7
1022,7
2686,7
2970,7
3499,7
9,8
165,8
344,8
386,8
1042,8
1778,8
2859,8
4969,8
10,9
99,9
205,9
284,9
405,9
458,9
604,9
621,9
624,9
676,9
764,9
1090,9
1188,9
1379,9
1929,9
1933,9
2094,9
2229,9
2263,9
2283,9
2294,9
2786,9
2887,9
2961,9
3079,9
3713,9
4318,9
4343,9
4438,9
4518,9
4540,9
4687,9
4759,9
4866,9
4947,9
5001,9
9,10
11,10
16,10
28,10
67,10
74,10
249,10
538,10
813,10
899,10
1230,10
1252,10
4909,10
12,11
4760,11
13,12
184,12
417,12
438,12
1479,12
1917,12
14,13
157,13
161,13
219,13
247,13
259,13
267,13
277,13
334,13
353,13
361,13
442,13
455,13
581,13
712,13
742,13
1074,13
1149,13
1735,13
2407,13
3552,13
3597,13
3708,13
3758,13
15,14
394,14
514,14
605,14
736,14
1079,14
1558,14
1638,14
1961,14
2670,14
3251,14
3656,14
3837,14
3913,14
4163,14
4707,14
4934,14
17,15
249,15
1153,15
1763,15
1821,15
2127,15
3882,15
4289,15
4328,15
18,16
69,16
189,16
715,16
795,16
899,16
1024,16
2890,16
3011,16
4753,16
4756,16
19,17
21,18
73,18
124,18
262,18
315,18
331,18
349,18
414,18
591,18
649,18
689,18
1004,18
1283,18
1363,18
1572,18
1714,18
1949,18
2419,18
2681,18
2843,18
2972,18
3093,18
3138,18
3277,18
3987,18
4548,18
22,19
182,19
317,19
23,20
24,21
100,21
2935,21
4450,21
4731,21
25,22
157,22
554,22
590,22
730,22
1029,22
1105,22
1115,22
1279,22
1491,22
1508,22
1720,22
1750,22
1882,22
2099,22
2145,22
2165,22
2382,22
2461,22
2588,22
2619,22
3360,22
3406,22
3810,22
4043,22
26,23
2050,23
4695,23
27,24
2415,24
2561,24
2696,24
3164,24
3290,24
3442,24
3514,24
3612,24
3934,24
4100,24
4297,24
4493,24
4592,24
4687,24
4758,24
4971,24
29,25
63,25
86,25
165,25
198,25
250,25
390,25
393,25
402,25
502,25
521,25
549,25
692,25
1117,25
1287,25
1316,25
1317,25
1390,25
1434,25
1566,25
1707,25
1789,25
2259,25
2299,25
2303,25
2305,25
2313,25
2333,25
2436,25
2513,25
2519,25
2640,25
2698,25
2747,25
3053,25
3191,25
3196,25
3235,25
3280,25
3320,25
3514,25
3526,25
3787,25
3789,25
4015,25
4276,25
4304,25
4320,25
4508,25
30,26
56,26
345,26
495,26
524,26
698,26
1170,26
2914,26
4894,26
31,27
3494,27
32,28
137,28
222,28
291,28
421,28
431,28
462,28
540,28
561,28
594,28
595,28
620,28
693,28
767,28
796,28
797,28
859,28
890,28
959,28
974,28
995,28
998,28
1012,28
1014,28
1027,28
1054,28
1069,28
1127,28
1140,28
1146,28
1168,28
1201,28
1218,28
1259,28
1262,28
1318,28
1441,28
1461,28
1475,28
1494,28
1533,28
1554,28
1581,28
1605,28
1626,28
1690,28
1813,28
1822,28
1826,28
1842,28
1846,28
1866,28
1894,28
1895,28
1896,28
2001,28
2003,28
2055,28
2082,28
2094,28
2107,28
2130,28
2147,28
2221,28
2294,28
2316,28
2353,28
2398,28
2428,28
2463,28
2631,28
2681,28
2704,28
2737,28
